,Delay,Power
358,2.02681e-09,1.89587e-05
359,1.24968e-09,9.36834e-06
360,6.65746e-10,1.29598e-05
361,4.02215e-10,7.80018e-06
362,1.00317e-09,4.44093e-06
363,3.0693e-10,5.47646e-06
364,1.60078e-10,1.09801e-05
365,1.24874e-09,1.9784e-05
366,4.40763e-10,4.74765e-06
367,3.7619e-09,1.39632e-05
368,7.66979e-11,7.57893e-06
369,3.24974e-10,1.17881e-05
370,8.65692e-11,1.82133e-06
371,3.91964e-09,1.01781e-05
372,4.87066e-10,1.74313e-05
373,1.02732e-09,1.49465e-05
374,4.33617e-10,1.15427e-05
375,6.61714e-10,2.54738e-05
376,9.49942e-11,3.6479e-06
377,2.19431e-10,3.91438e-06
378,3.05476e-10,8.62117e-06
379,4.21625e-10,6.51602e-06
380,9.11421e-11,1.00424e-05
381,5.66905e-10,4.48226e-06
382,9.74865e-10,1.50941e-05
383,1.36342e-10,4.16053e-06
384,7.15678e-10,2.44419e-06
385,1.12075e-10,2.18874e-06
386,1.15521e-10,5.43259e-06
387,7.19012e-10,1.82482e-05
388,7.39569e-10,9.68968e-06
389,4.90063e-09,5.98231e-06
390,4.48073e-10,2.31083e-05
391,4.69608e-10,1.35957e-05
392,8.24212e-10,5.55857e-06
393,7.10557e-09,2.70326e-06
394,3.0807e-10,9.14506e-06
395,2.23653e-10,4.09062e-06
396,1.74798e-09,9.34587e-06
397,1.85959e-09,7.74612e-06
398,3.51596e-11,7.02565e-06
399,7.39621e-11,7.97389e-06
400,2.40406e-09,7.29968e-06
401,8.82347e-10,5.1154e-06
402,5.95916e-11,4.45598e-06
403,1.21958e-09,1.02734e-05
404,8.24495e-10,1.99063e-05
405,1.32139e-09,1.51962e-05
406,4.10213e-09,1.04381e-05
407,8.63211e-10,2.025e-05
408,5.66932e-10,1.04517e-05
409,1.02244e-09,9.56981e-06
410,1.87174e-10,2.83703e-06
411,4.80879e-09,4.58724e-06
412,5.62848e-10,1.8148e-05
413,1.11053e-09,1.2183e-05
414,6.21712e-10,1.87875e-05
415,3.46726e-09,6.37785e-06
416,9.48523e-10,1.29252e-05
417,5.58627e-10,4.39426e-06
418,4.2036e-10,8.25416e-06
419,1.49574e-10,1.3165e-05
420,3.7853e-10,8.42251e-06
421,7.07617e-10,1.01824e-05
422,8.49547e-09,1.66557e-05
423,5.17196e-10,1.75085e-05
424,2.28832e-09,7.97353e-06
425,1.1958e-09,6.8999e-06
426,7.39919e-10,2.09223e-05
427,1.43846e-09,8.56496e-06
428,3.37222e-11,1.7213e-06
429,9.22685e-10,5.20578e-06
430,4.63803e-10,9.07045e-06
431,7.39896e-10,1.95331e-05
432,1.0103e-10,5.9929e-06
433,1.91731e-10,6.12984e-06
434,7.94516e-09,1.02719e-05
435,4.47194e-10,4.51722e-06
436,7.91877e-10,5.82532e-06
437,6.32754e-10,1.35709e-05
438,2.71047e-09,5.51588e-06
439,3.51095e-09,9.65039e-06
440,6.39412e-10,7.27088e-06
441,9.89469e-11,4.64547e-06
442,8.49917e-10,1.41011e-05
443,4.36085e-10,4.0622e-06
444,3.87576e-10,5.11297e-06
445,2.14387e-09,1.00184e-05
446,3.31276e-10,7.93589e-06
447,4.00716e-09,3.41812e-06
448,1.09486e-10,4.32308e-06
449,1.50253e-09,8.88988e-06
450,8.62391e-10,1.14569e-05
451,7.42925e-09,4.15375e-06
452,9.64549e-10,1.13746e-06
453,9.10254e-10,1.0324e-05
454,5.84206e-10,4.72299e-06
455,5.53903e-10,3.48178e-06
456,8.57277e-10,5.7186e-06
457,5.37763e-10,5.8402e-06
458,2.0808e-10,2.50328e-06
459,5.94092e-10,2.02206e-05
460,9.87187e-10,1.24495e-05
461,9.88293e-10,9.16962e-06
462,8.24216e-10,8.99449e-06
463,3.13262e-09,9.22772e-06
464,4.24055e-10,1.19136e-05
465,3.89723e-10,1.10547e-05
466,1.01299e-10,7.76244e-06
467,5.94404e-11,2.24121e-06
468,8.05352e-10,6.55381e-06
469,1.28552e-10,2.22005e-06
470,2.53493e-10,1.02061e-05
471,7.84115e-10,1.12906e-05
472,1.91302e-09,7.30763e-06
473,6.07153e-11,3.38284e-06
474,3.27505e-10,6.41038e-06
475,2.7533e-10,7.06933e-06
476,2.44498e-09,1.39442e-05
477,1.01657e-09,1.22306e-05
478,2.26223e-10,5.21702e-06
479,3.92107e-10,9.5642e-06
480,9.84596e-10,3.63367e-06
481,1.05963e-09,1.07873e-05
482,7.43897e-10,2.34889e-05
483,2.32147e-09,9.72224e-06
484,8.08565e-10,1.18243e-05
485,8.15978e-10,1.41872e-05
486,3.6609e-10,7.42492e-06
487,6.93278e-10,1.99847e-05
488,2.67568e-09,1.78715e-05
489,3.38969e-09,1.02134e-05
490,3.13948e-09,1.12147e-05
491,2.48967e-10,3.25586e-06
492,1.27515e-09,1.9343e-05
493,5.66013e-10,7.88784e-06
494,3.4835e-10,1.22406e-05
495,9.12085e-09,4.78568e-06
496,1.45434e-09,1.26341e-05
497,1.23603e-09,8.3637e-06
498,3.83901e-11,3.99036e-06
499,1.52197e-08,1.1302e-05
500,1.11085e-09,1.11074e-05
501,1.40395e-09,1.34677e-05
502,3.71088e-10,1.12886e-05
503,1.64234e-09,5.76537e-06
504,9.07898e-10,1.33789e-05
505,4.52288e-10,2.92208e-06
506,2.48092e-09,1.53706e-05
507,6.81387e-10,1.30863e-05
508,1.7749e-09,1.22273e-05
509,4.17759e-10,1.38448e-05
